,birthState,debutDecade,count,count_decade,pct
841,St. Croix,1990,1,131,0.007633587786259542
842,CT,1990,15,131,0.11450381679389313
843,Herrera,1990,1,131,0.007633587786259542
844,WA,1990,22,131,0.16793893129770993
845,Suffolk,1990,1,131,0.007633587786259542
846,TX,1990,91,131,0.6946564885496184
847,IL,1990,91,131,0.6946564885496184
848,DC,1990,1,131,0.007633587786259542
849,IN,1990,27,131,0.20610687022900764
850,WI,1990,14,131,0.10687022900763359
851,IA,1990,17,131,0.1297709923664122
852,KS,1990,17,131,0.1297709923664122
853,KY,1990,20,131,0.15267175572519084
854,TN,1990,19,131,0.1450381679389313
855,Cocle,1990,1,131,0.007633587786259542
856,DE,1990,6,131,0.04580152671755725
857,Kumamoto,1990,1,131,0.007633587786259542
858,Kyoto,1990,1,131,0.007633587786259542
859,Wakayama,1990,1,131,0.007633587786259542
860,Tamaulipas,1990,1,131,0.007633587786259542
861,LA,1990,38,131,0.2900763358778626
862,Hyogo,1990,1,131,0.007633587786259542
863,La Altagracia,1990,1,131,0.007633587786259542
864,Holguin,1990,1,131,0.007633587786259542
865,Chiriqui,1990,1,131,0.007633587786259542
866,La Habana,1990,8,131,0.061068702290076333
867,La Romana,1990,6,131,0.04580152671755725
868,La Vega,1990,1,131,0.007633587786259542
869,Chihuahua,1990,2,131,0.015267175572519083
870,Lara,1990,6,131,0.04580152671755725
871,Maria Trinidad Sanchez,1990,2,131,0.015267175572519083
872,GA,1990,37,131,0.2824427480916031
873,WY,1990,1,131,0.007633587786259542
874,CA,1990,326,131,2.4885496183206106
875,WV,1990,4,131,0.030534351145038167
876,Santo Domingo,1990,3,131,0.022900763358778626
877,VA,1990,36,131,0.2748091603053435
878,NM,1990,3,131,0.022900763358778626
879,Veracruz,1990,4,131,0.030534351145038167
880,Baja California,1990,7,131,0.05343511450381679
881,NS,1990,1,131,0.007633587786259542
882,NV,1990,5,131,0.03816793893129771
883,BC,1990,6,131,0.04580152671755725
884,FL,1990,84,131,0.6412213740458015
885,NY,1990,83,131,0.6335877862595419
886,Santiago Rodriguez,1990,1,131,0.007633587786259542
887,Yaracuy,1990,1,131,0.007633587786259542
888,New South Wales,1990,1,131,0.007633587786259542
889,Santiago,1990,10,131,0.07633587786259542
890,Azua,1990,1,131,0.007633587786259542
891,Nueva Esparta,1990,2,131,0.015267175572519083
892,Atlantico Sur,1990,1,131,0.007633587786259542
893,Atlantico,1990,1,131,0.007633587786259542
894,OH,1990,70,131,0.5343511450381679
895,Sanchez Ramirez,1990,2,131,0.015267175572519083
896,OK,1990,16,131,0.12213740458015267
897,San Pedro de Macoris,1990,27,131,0.20610687022900764
898,NH,1990,5,131,0.03816793893129771
899,Barahona,1990,2,131,0.015267175572519083
900,NJ,1990,40,131,0.3053435114503817
